episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,5.3270192527484745,0.531069128166986,-27.265233176819034,25.0,3.0008977353572845,[25.0, 3.0008977353572845],0.0,False,True,0.7202960053429124,2,19.45218941118035,7.879,prepare,0.0
0,2.0,5.326891585484106,0.5311172062831424,-27.27155970700964,25.0,2.5991216003894806,[25.0, 2.5991216003894806],1.0,False,True,0.7195972443466018,2,19.45218941118035,7.944,in_progress,0.0
0,3.0,5.333035481262511,0.5272801807225219,-27.502805004185348,25.0,4.0,[25.0, 4.0],1.0,False,True,0.7565986582481558,2,19.45218941118035,8.01,in_progress,0.0
0,4.0,5.35410298328268,0.5232826629621469,-26.040866120030365,20.625622272491455,2.8869417309761047,[20.625622272491455, 2.8869417309761047],1.0,False,True,0.8631887058044105,2,19.45218941118035,8.076,in_progress,0.0
0,5.0,5.390400032185272,0.5174681331020101,-23.579559163058153,25.0,0.5268848985433578,[25.0, 0.5268848985433578],1.0,False,True,1.045998691697232,2,19.45218941118035,8.138,in_progress,0.0
0,6.0,5.431333960583942,0.5173576493951171,-19.82260117179832,25.0,0.5,[25.0, 0.5],1.0,False,True,1.2381228061417524,3,19.45218941118035,8.209,in_progress,0.0
0,7.0,5.469183881154186,0.5213547306296749,-15.919578552711664,25.0,0.5,[25.0, 0.5],1.0,False,True,1.407122538538926,3,19.45218941118035,8.276,in_progress,0.0
0,8.0,5.505586682362056,0.5270689432407157,-12.486918489058692,25.0,0.5,[25.0, 0.5],0.5,False,True,1.5790609095811905,3,19.45218941118035,8.341,in_progress,0.0
0,9.0,5.543283926205389,0.5361697670358462,-8.422264955143476,25.0,3.5594741255044937,[25.0, 3.5594741255044937],0.5,False,True,1.7410889124489712,4,19.45218941118035,8.409,in_progress,0.0
0,10.0,5.590292681752303,0.5489611703463501,-3.8113193389286764,25.0,2.5319149866700172,[25.0, 2.5319149866700172],0.5,False,True,1.9864497388172717,4,19.45218941118035,8.477,in_progress,0.0
0,11.0,5.644415633073562,0.5717531568479187,2.225232859210502,25.0,1.3152835965156555,[25.0, 1.3152835965156555],0.1,False,True,2.2156653706661036,5,19.45218941118035,8.546,in_progress,0.0
0,12.0,5.713908156103203,0.6081027888681796,9.648270297711866,16.23259663581848,1.9785556457936764,[16.23259663581848, 1.9785556457936764],0.1,False,True,2.6151550911335653,6,19.45218941118035,8.611,in_progress,0.0
0,13.0,5.77673985593806,0.6477774282334721,16.07745103403696,-2.422136068344116,0.6959894448518753,[-2.422136068344116, 0.6959894448518753],0.1,False,True,3.0714273207429335,7,19.45218941118035,8.676,in_progress,0.0
0,14.0,5.846166409678133,0.688621664276888,20.992610229726587,-4.113423824310303,2.235416071023792,[-4.113423824310303, 2.235416071023792],0.1,False,False,3.6401216538387975,8,19.45218941118035,8.743,in_progress,0.0
0,15.0,5.925818160740433,0.7238243639734289,21.809437702330143,-1.713261604309082,2.2748955893330276,[-1.713261604309082, 2.2748955893330276],0.001,False,False,4.50589584769623,10,19.45218941118035,8.807,in_progress,0.0
0,16.0,6.019314367850113,0.7555945223687021,20.599099768296483,17.313376665115356,1.6413840800523758,[17.313376665115356, 1.6413840800523758],0.1,False,False,5.371900710565105,11,19.45218941118035,8.879,in_progress,0.0
0,17.0,6.11950925825886,0.7960097769220179,21.158883784828376,-2.8444385528564453,2.378324618563056,[-2.8444385528564453, 2.378324618563056],0.1,False,False,6.3149390072219465,13,19.45218941118035,8.941,in_progress,0.0
0,18.0,6.226985686950096,0.8438926432768633,22.265103065928155,14.211218357086182,1.3014437854290009,[14.211218357086182, 1.3014437854290009],0.1,False,False,7.144660604702184,15,19.45218941118035,9.011,in_progress,0.0
0,19.0,6.335933991124503,0.896846048173834,23.897794057089804,25.0,1.3788392171263695,[25.0, 1.3788392171263695],0.5,False,False,7.6832231638708866,16,19.45218941118035,9.076,in_progress,0.0
0,20.0,6.427508277968879,0.9527193501722654,26.922543504550433,25.0,2.0795668940991163,[25.0, 2.0795668940991163],1.0,False,True,8.103713508033152,17,19.45218941118035,9.142,in_progress,0.0
0,21.0,6.513795737346724,1.0197372554957447,31.328602252742602,25.0,4.0,[25.0, 4.0],1.0,False,True,8.539381561457432,18,19.45218941118035,9.206,in_progress,0.0
0,22.0,6.604386626736116,1.1098958897010638,37.6805422539902,20.489686727523804,4.0,[20.489686727523804, 4.0],0.5,False,True,9.132801856542072,19,19.45218941118035,9.275,in_progress,0.0
0,23.0,6.684461754890709,1.2168839121683075,45.512581343528375,0.19448518753051758,2.708824910223484,[0.19448518753051758, 2.708824910223484],0.5,False,True,9.841437926233942,21,19.45218941118035,9.342,in_progress,0.0
0,24.0,6.760147762643629,1.336230194084427,53.61361011634046,1.11040860414505,0.5,[1.11040860414505, 0.5],0.5,False,True,10.643001813177769,23,19.45218941118035,9.409,in_progress,0.0
0,25.0,6.8323751234426755,1.461598464660235,59.81314582815511,-15.0,0.5,[-15.0, 0.5],0.5,False,True,11.42536098341519,24,19.45218941118035,9.479,in_progress,0.0
0,26.0,6.898147452660398,1.5694393372114972,61.89590421408451,-7.0932090282440186,0.5,[-7.0932090282440186, 0.5],0.5,False,True,12.114717155750725,26,19.45218941118035,9.541,in_progress,0.0
0,27.0,6.955436502834927,1.6568523312153618,62.05728639097543,-1.7450940608978271,0.5,[-1.7450940608978271, 0.5],0.5,False,True,12.79347728278179,27,19.45218941118035,9.604,in_progress,0.0
0,28.0,7.009843981303835,1.7333033182247684,59.413533078081365,18.35374355316162,0.5,[18.35374355316162, 0.5],0.5,False,True,13.327129516815742,28,19.45218941118035,9.678,in_progress,0.0
0,29.0,7.048705104470612,1.8002882238528033,59.64937288503261,14.742578268051147,0.5,[14.742578268051147, 0.5],0.5,False,True,13.71975053209904,29,19.45218941118035,9.744,in_progress,0.0
0,30.0,7.067558820968279,1.8626639822130535,63.15909327399516,-15.0,0.5,[-15.0, 0.5],1.0,False,True,13.974472461838,30,19.45218941118035,9.811,in_progress,0.0
